pt1_X,pt1_Y,pt2_X,pt2_Y,pt3_X,pt3_Y,pt4_X,pt4_Y,pt5_X,pt5_Y
818.150000,920.550000,876.650000,915.100000,1016.957712,890.203261,1027.900000,888.890000,1055.023832,884.043398
817.360000,919.740000,875.910000,915.160000,1014.080000,891.550000,1027.980000,888.880000,1054.772849,881.797252
817.030000,918.830000,875.130000,915.300000,1011.070000,893.660000,1027.960000,889.240000,1054.270884,881.123408
816.730000,917.890000,874.620000,915.330000,1008.020000,896.010000,1028.010000,889.710000,1053.517937,881.348023
815.990000,916.890000,874.400000,915.310000,1014.946143,895.240529,1028.090000,890.340000,1049.753199,883.594169
815.280000,915.990000,874.360000,915.250000,1017.220000,895.490000,1028.070000,891.160000,1049.753199,883.594169
815.150000,915.290000,874.140000,915.240000,1018.200000,896.350000,1026.362917,893.196883,1049.251234,883.594169
815.170000,914.850000,874.080000,915.240000,1019.310000,897.540000,1025.100000,895.090000,1048.498286,883.369554
815.200000,914.180000,874.140000,915.000000,1020.000000,898.920000,1028.074708,896.054603,1048.498286,883.369554
815.280000,913.820000,874.060000,915.000000,1021.555584,900.757536,1029.920000,896.880000,1048.498286,883.369554
815.490000,913.490000,874.080000,914.850000,1023.090000,902.330000,1029.786499,896.626147,1047.494356,885.615700
816.120000,913.580000,874.120000,914.740000,1024.429254,904.115715,1030.140000,899.350000,1047.494356,887.861846
816.980000,913.700000,874.200000,914.590000,1026.440823,906.514414,1030.160000,902.090000,1048.498286,890.781836
817.560000,914.100000,874.620000,914.060000,1027.877658,909.152983,1037.318380,903.484675,1049.753199,894.600284
817.980000,914.760000,875.260000,913.670000,1029.780000,911.050000,1042.780000,902.490000,1051.008111,896.846430
818.310000,915.700000,876.170000,913.060000,1033.860000,912.630000,1042.111396,905.485079,1051.259094,899.092576
818.980000,916.600000,876.970000,912.590000,1032.762897,916.349080,1043.260000,909.070000,1051.761059,901.563336
819.760000,917.590000,877.630000,912.620000,1036.200000,918.150000,1045.760000,912.850000,1053.517937,906.954086
820.310000,918.710000,877.640000,913.030000,1040.430000,920.030000,1048.616202,917.773274,1056.278745,913.692524
820.690000,919.790000,877.770000,913.320000,1044.670000,922.430000,1051.249147,922.378764,1057.784640,918.409431
820.810000,920.870000,877.800000,913.710000,1049.080000,924.780000,1055.048836,925.233261,1057.784640,919.757118
820.950000,921.890000,877.940000,914.000000,1052.120000,926.160000,1054.668867,928.404924,1058.537588,924.923254
821.090000,922.770000,877.980000,914.280000,1047.080000,923.570000,1048.589364,929.673589,1058.537588,928.292473
821.130000,923.470000,877.920000,914.820000,1043.600000,921.430000,1044.029736,928.404924,1058.537588,930.538619
821.100000,923.910000,877.980000,915.110000,1034.100000,916.270000,1043.649767,928.087758,1058.035622,931.212463
821.160000,924.180000,878.010000,915.350000,1029.889227,922.105958,1043.649767,928.087758,1058.035622,931.212463
821.080000,924.320000,877.980000,915.960000,1029.889227,919.227519,1043.649767,927.136259,1056.027762,928.292473
821.010000,924.260000,878.000000,916.230000,1031.038695,917.308560,1044.029736,923.964596,1054.270884,923.800181
821.000000,924.040000,877.980000,916.840000,1031.280000,915.870000,1045.169643,921.110099,1054.270884,922.227879
820.840000,923.790000,878.030000,917.000000,1032.475530,910.352332,1046.689519,914.766773,1054.270884,920.430962
820.700000,923.180000,878.010000,917.140000,1032.475530,905.315064,1046.689519,914.766773,1054.772849,918.184816
820.220000,922.330000,877.950000,917.290000,1033.050000,900.850000,1050.489209,913.815274,1056.027762,916.163285
819.340000,920.900000,877.830000,917.290000,1034.080000,896.360000,1047.829426,907.471948,1057.784640,912.569451
818.330000,919.270000,877.710000,917.020000,1016.382978,892.122220,1044.789674,896.371128,1060.043483,906.954086
816.910000,917.520000,877.430000,917.010000,1003.050000,893.710000,1042.129891,893.199465,1062.302326,898.194117
815.840000,915.380000,876.040000,917.260000,1005.463033,890.922870,1037.950232,883.050143,1061.298395,891.231065
814.640000,912.930000,874.650000,916.830000,1004.070000,890.910000,1037.190294,881.464311,1054.772849,883.594169
812.910000,910.730000,872.240000,917.260000,1003.190000,891.560000,1031.870728,879.561314,1049.753199,880.224950
811.300000,908.580000,869.870000,917.680000,992.531518,898.838577,1031.870728,879.561314,1048.498286,878.877262
810.150000,906.560000,867.880000,917.680000,999.428326,903.156235,1029.590914,879.244147,1046.239443,877.304960
808.950000,904.810000,866.250000,917.220000,1000.070000,903.670000,1027.691069,879.244147,1041.470775,875.732658
807.750000,902.970000,864.970000,916.570000,1001.490000,904.510000,1020.471658,884.001642,1036.702107,873.711127
806.510000,901.630000,864.010000,915.630000,1002.620000,905.030000,1014.392154,892.247966,1036.702107,873.711127
804.760000,900.420000,863.120000,914.770000,1004.020000,906.010000,1014.392154,896.371128,1034.192281,873.261897
803.010000,899.500000,862.010000,913.770000,999.140959,910.112462,1015.152092,900.177123,1028.921648,878.203418
801.190000,898.850000,860.890000,912.900000,999.428326,910.832072,1015.152092,902.080121,1029.172630,882.920325
799.370000,898.210000,859.910000,911.980000,1001.152528,911.791552,1016.671968,904.934618,1030.176561,888.984919
798.080000,897.980000,858.750000,911.180000,1003.451464,913.710511,1017.051937,908.106281,1030.176561,889.658763
796.840000,897.980000,857.580000,910.360000,1004.888299,916.588950,1015.152092,912.229443,1030.929508,893.477211
795.420000,898.330000,855.580000,910.040000,1004.888299,920.906608,1015.152092,914.766773,1031.180491,897.969503
793.460000,898.730000,853.470000,909.830000,1004.888299,927.143226,1016.291999,918.572769,1032.435403,907.627930
791.450000,899.150000,850.710000,909.700000,1006.899868,929.302055,1016.291999,924.281762,1028.419683,918.184816
788.850000,900.200000,847.960000,909.480000,1005.463033,932.420363,1016.291999,929.039257,1027.917718,922.003264
786.270000,901.060000,845.540000,908.960000,1004.313565,932.900103,1014.392154,933.162419,1026.662805,928.292473
784.130000,901.910000,843.360000,908.850000,998.566225,934.339323,1012.492309,935.065416,1017.627434,934.132452
781.890000,902.810000,841.250000,908.680000,990.807316,935.298802,1007.552712,939.188578,1018.882346,937.726286
779.910000,903.570000,839.290000,908.330000,984.772609,935.538672,1006.032836,939.822911,1017.627434,938.624744
777.750000,904.090000,837.330000,907.880000,981.324205,934.819062,987.768538,940.693792,1014.615643,941.320119
775.720000,905.060000,835.780000,907.270000,973.565297,930.741274,984.960298,940.303111,1011.101888,941.320119
773.590000,905.910000,833.870000,907.050000,964.082186,927.143226,983.400165,939.651977,1007.086167,941.769348
771.080000,906.420000,831.810000,907.070000,961.208516,926.903356,978.407739,935.484718,1006.584202,941.769348
769.030000,906.840000,829.770000,907.050000,960.346415,926.423616,975.443486,931.968593,1002.568481,941.095505
767.050000,907.350000,827.740000,907.100000,956.035910,923.785047,975.287472,931.838366,1002.066516,940.870890
765.060000,907.990000,825.720000,907.200000,954.599075,922.825567,971.699166,931.057005,1000.811603,940.646275
763.180000,908.560000,823.820000,907.220000,955.827103,922.474423,971.075113,930.015190,994.788022,937.950900
761.630000,909.040000,821.920000,907.360000,955.071106,921.685619,967.486806,925.717704,994.537040,937.726286
760.100000,909.650000,820.150000,907.550000,954.126108,920.581292,965.458633,922.592259,993.533110,936.827827
758.830000,910.160000,818.370000,907.860000,950.346120,917.741596,965.458633,921.941125,992.780162,935.704754
757.400000,910.510000,817.000000,907.900000,948.456126,916.637270,964.678567,921.159764,992.027215,933.907838
755.820000,910.650000,815.760000,907.820000,945.999133,915.217422,965.302620,919.857495,991.274267,930.987848
754.120000,910.760000,814.090000,907.760000,945.432135,914.428617,967.174780,918.685454,989.526100,929.045297
752.410000,910.490000,812.890000,907.720000,942.975142,911.431160,967.954846,915.950690,988.620738,927.533857
751.140000,910.350000,811.780000,907.410000,942.597144,910.642356,967.798833,915.429782,988.620738,927.155997
750.030000,910.020000,810.790000,906.930000,936.360163,908.749225,968.287936,916.576459,988.620738,927.155997
749.000000,909.740000,809.810000,906.390000,932.580174,908.749225,969.211416,914.649348,988.620738,916.198057
748.000000,909.120000,808.820000,906.020000,931.446178,908.275943,969.442287,914.071215,988.620738,914.686617
